OTU,NM-L+P+1,NM-L+P+2,NM-L+P+3,NM-L+P+4,NM-L+P+5,AM-L-P+1,AM-L-P+2,AM-L-P+3,AM-L-P+4,AM-L-P+5,NM-L+P-1,NM-L+P-2,NM-L+P-3,NM-L+P-4,NM-L+P-5,AM-L-P-1,AM-L-P-2,AM-L-P-3,AM-L-P-4,AM-L-P-5
OTU88,502,386,231,1070,0,240,259,2879,1776,1862,0,1490,183,1243,1787,388,4565,318,2535,1629
OTU89,0,30,0,0,0,0,0,0,0,1226,0,0,144,54,0,402,0,0,0,0
OTU90,346,299,754,1116,1813,360,232,1159,1687,2862,556,1697,152,281,534,121,1380,4856,1131,2182
OTU91,0,299,121,765,695,0,253,1884,0,0,1389,0,0,11,1259,10,1246,0,0,10
OTU92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU93,0,1,0,6,8,409,564,2,1,0,1,2,469,126,516,128,0,0,0,0
OTU94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU95,0,0,0,4,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU96,0,0,0,107,4,233,435,2,0,0,0,2,609,547,410,648,0,1,0,2
OTU97,0,0,0,0,0,0,0,3,0,0,0,0,135,0,0,485,0,0,0,0
OTU98,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,215,0,0,0,0
OTU99,2,0,1,290,0,0,73,0,0,0,0,0,201,224,0,249,0,0,0,1
OTU100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU102,0,0,0,0,0,153,97,0,0,0,1,0,0,0,0,216,0,0,0,0
OTU103,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU104,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1845,0
OTU105,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,78,0,0,0,0
OTU106,0,0,0,1,0,149,80,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU107,273,195,0,314,0,0,0,2,0,0,0,0,0,0,0,340,0,0,0,0
OTU108,0,0,0,0,0,477,515,0,0,0,0,584,238,1815,0,196,0,0,0,0
OTU109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU110,0,0,0,2,0,0,30,0,0,0,0,0,189,0,0,189,0,0,0,0
OTU111,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU113,0,0,0,208,0,110,80,0,0,0,0,0,0,0,0,80,0,0,0,0
OTU114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
OTU115,0,2,0,0,0,0,0,0,0,0,2,0,172,0,1,1,0,0,0,0
OTU116,1,0,22,5,0,88,139,0,1,0,0,808,151,123,0,366,1,0,1,0
