,OTUs,a,b,c,size,Class
167,ASV1609,6.52E-06,0,0.000410745,0.01390881,c
168,ASV16115,0,0.000202112,0,0.00673708,b
169,ASV1616,0,0.000358587,0,0.011952884,b
170,ASV1618,0,0.000384666,9.13E-05,0.015864737,b
171,ASV1627,0,0,0.000215152,0.00717173,c
172,ASV1629,0.000573738,0,0,0.019124614,a
173,ASV16384,0,0.000625896,0,0.020863216,b
174,ASV16430,0.000880167,0,0,0.029338897,a
175,ASV1655,0,0,0.000345547,0.011518234,c
176,ASV1662,0.00080845,0,0,0.02694832,a
177,ASV1665,0.000293389,0,0,0.009779632,a
178,ASV16660,0.000280349,0.000456383,0,0.024557743,b
179,ASV16685,0,0.000782371,5.87E-05,0.028034946,b
180,ASV16689,0,0.000828009,0,0.027600296,b
181,ASV16712,0.000651975,0,0,0.021732516,a
182,ASV16719,0.000599817,0,0,0.019993915,a
183,ASV1673,0.000241231,0,0,0.008041031,a
184,ASV16733,0,0,0.000215152,0.00717173,c
185,ASV16743,0,0,0.000671535,0.022384492,c
186,ASV16775,0,0.000293389,0,0.009779632,b
187,ASV1682,0.002992567,0.000899726,0.000658495,0.151692963,a
188,ASV1688,0.000247751,0,0,0.008258356,a
189,ASV1693,0,0,0.00025427,0.008475681,c
190,ASV16962,0.000495501,1.96E-05,0,0.017168688,a
191,ASV16977,0,0,0.000319468,0.010648933,c
192,ASV17,0.001173556,0.011064024,0.07180206,2.801321337,c
193,ASV170,0,0,0.000299909,0.009996957,c
194,ASV1702,0.000612857,0,0,0.020428565,a
195,ASV1703,0.000391185,0.000417264,0.000325988,0.037814578,none
196,ASV1705,0,0.000710653,0,0.023688443,b
197,ASV17088,0,0.00027383,0,0.009127657,b
198,ASV1710,0,0.00052158,0,0.017386013,b
199,ASV1719,0.000456383,0.000469422,0,0.030860173,b
200,ASV172,0,0,0.000221672,0.007389056,c
201,ASV1721,0.001095319,0,0,0.036510627,a
202,ASV1724,0.004987612,0.003272917,0.001271352,0.317729387,a
203,ASV173,0.01569957,0.000234711,0.005131047,0.702177598,a
204,ASV1736,0.000325988,0,0.000449863,0.025861694,c
205,ASV1742,0,0.000234711,0,0.007823706,b
206,ASV1750,0.000391185,0,6.52E-06,0.013256835,a
207,ASV1752,0,1.96E-05,0.000443343,0.015430086,c
208,ASV17538,0.000717173,0,0,0.023905768,a
209,ASV178,0.000169514,1.96E-05,0.00025427,0.014778111,c
210,ASV1781,0.000280349,0,0,0.009344982,a
211,ASV17857,0.000462903,0,0.000286869,0.024992394,a
212,ASV17859,0,0.000202112,0,0.00673708,b
213,ASV17862,0.001264832,0.000391185,0,0.055200591,a
214,ASV17863,0.000547659,0,0,0.018255314,a
215,ASV17866,0.000599817,0,0,0.019993915,a
216,ASV17868,0.001212674,0,0,0.04042248,a
217,ASV17870,0.000247751,0,0,0.008258356,a
218,ASV17877,0,0,0.000247751,0.008258356,c
219,ASV17878,0.000991003,6.52E-06,0,0.03325075,a
220,ASV17880,0.000117356,0.000991003,0,0.036945278,b
221,ASV17885,0.000482462,0,0,0.016082062,a
222,ASV17888,0.000247751,0,0,0.008258356,a
223,ASV17889,0.000593298,0,0,0.01977659,a
224,ASV17894,0.000247751,0,0,0.008258356,a
225,ASV17898,0.000299909,0,0,0.009996957,a
226,ASV17910,0.00053462,0,0,0.017820663,a
227,ASV17913,0.000208632,0,0,0.006954405,a
228,ASV17914,0.002242796,0,0.00053462,0.092580519,a
229,ASV17919,0.000352067,0,0,0.011735559,a
230,ASV17930,0.000202112,0,0,0.00673708,a
231,ASV17937,0.000743252,0,0.001258313,0.066718825,c
232,ASV17946,0.000325988,0,0,0.010866258,a
233,ASV17953,3.26E-05,0.000671535,0,0.023471117,b
234,ASV17954,0,0.000560699,0.000469422,0.034337376,b
235,ASV17959,0,0.000625896,0,0.020863216,b
236,ASV17963,0.004459512,0,0,0.148650411,a
237,ASV1797,0.000612857,0,0,0.020428565,a
238,ASV1799,0,0.000488982,0,0.016299387,b
239,ASV17994,0.001082279,0,0,0.036075977,a
240,ASV18005,0.000443343,0,0,0.014778111,a
241,ASV18006,0.000423784,0,0,0.014126136,a
242,ASV18021,0.000293389,0,0,0.009779632,a
243,ASV18022,0.000743252,0,0.000404225,0.038249228,a
244,ASV18026,0,0.000306428,0.000299909,0.02021124,b
245,ASV18027,0,0,0.000247751,0.008258356,c
246,ASV18049,3.91E-05,0.000932325,0,0.032381449,b
247,ASV1808,0,0,0.000228191,0.007606381,c
248,ASV18090,0.000658495,0,0,0.021949841,a
249,ASV18092,8.48E-05,0.000860608,0,0.031512148,b
250,ASV18094,0.000241231,0,0,0.008041031,a
251,ASV181,0.000841048,0,0.000208632,0.034989351,a
252,ASV1810,0.000984483,0,0,0.032816099,a
253,ASV18105,0.000202112,0,0,0.00673708,a
254,ASV18106,0,0.00052158,0,0.017386013,b
255,ASV18108,0.000104316,0,0.00133655,0.048028861,c
256,ASV18111,2.61E-05,0,0.000834529,0.028686921,c
257,ASV18122,0,0.000495501,0,0.016516712,b
258,ASV18123,0,0.00026079,0,0.008693006,b
259,ASV18145,0,0.000325988,0,0.010866258,b
260,ASV1815,0.000325988,0.000482462,0.000384666,0.039770505,none
261,ASV18151,0.000280349,0,0,0.009344982,a
262,ASV18152,0.000280349,0,0,0.009344982,a
263,ASV18162,0,0.000651975,0,0.021732516,b
264,ASV18165,0.000195593,0.000867127,0,0.035424001,b
265,ASV18173,0,0.001519103,0,0.050636763,b
266,ASV18177,0.000234711,0,0,0.007823706,a
267,ASV18197,0.001675577,0,0,0.055852567,a
268,ASV18205,0.001551702,0,0,0.051723389,a
269,ASV18207,0,0.000449863,0,0.014995436,b
270,ASV18224,0.001271352,0,0,0.042378407,a
271,ASV18226,0.000208632,0,0,0.006954405,a
272,ASV18238,0.000319468,0,0,0.010648933,a
273,ASV1827,0.000215152,0,0,0.00717173,a
274,ASV1831,0.0005281,0,0,0.017603338,a
275,ASV18332,0,0.000345547,0,0.011518234,b
276,ASV184,0,0,0.000997522,0.03325075,c
277,ASV18402,1.96E-05,0.000456383,0,0.015864737,b
278,ASV18409,0.000658495,0,0,0.021949841,a
279,ASV18420,9.13E-05,0.000475942,0,0.018907289,b
280,ASV185,6.52E-06,0.003096884,0.000423784,0.117572913,b
281,ASV18508,0.000312948,0,0,0.010431608,a
282,ASV18509,0.000312948,0,0,0.010431608,a
283,ASV18517,4.56E-05,0.000475942,0,0.017386013,b
284,ASV1859,0,0,0.000280349,0.009344982,c
285,ASV18630,0.000456383,0,0,0.015212761,a
286,ASV18652,0,0.000964924,0.000215152,0.039335854,b
287,ASV1867,0,0,0.000319468,0.010648933,c
288,ASV1884,0.000221672,0,0,0.007389056,a
289,ASV18883,0,0.000352067,0,0.011735559,b
290,ASV18905,0.000202112,0,0,0.00673708,a
291,ASV19170,0.00026731,0,0,0.008910332,a
292,ASV1925,0,0.000404225,0,0.01347416,b
293,ASV19440,0.000202112,0,0.000397705,0.019993915,c
294,ASV19536,0,0,0.000234711,0.007823706,c
295,ASV1962,0,0.00213196,0,0.071065328,b
296,ASV19814,0.000814969,0,0,0.027165645,a
297,ASV199,0,0.00025427,0,0.008475681,b
298,ASV19916,0,0,0.00025427,0.008475681,c
299,ASV2,0,0.000912766,6.52E-06,0.030642848,b
300,ASV20,0,0,0.000215152,0.00717173,c
301,ASV2003,0.000769331,0,0,0.025644369,a
302,ASV201,0,0.000612857,0.000176033,0.026296345,b
303,ASV20113,0.000391185,0,0,0.01303951,a
304,ASV2017,0,0.000215152,0,0.00717173,b
305,ASV20263,0,0.000404225,0,0.01347416,b
306,ASV206,0.000136915,0.000332507,0.000162994,0.021080541,b
307,ASV2091,0,0.000234711,0.000475942,0.023688443,c
308,ASV2095,0.000247751,0,0,0.008258356,a
309,ASV21,0.000123875,4.56E-05,0.00054114,0.023688443,c
310,ASV2154,0,0,0.000423784,0.014126136,c
311,ASV217,0.000365106,0.000665015,0.000964924,0.0665015,none
312,ASV22,0.000430304,0.000710653,0.000645456,0.059547094,none
313,ASV220,0.000397705,0,3.26E-05,0.014343461,a
314,ASV222,0,0.00079541,0,0.02651367,b
315,ASV2225,0.001088799,0.000417264,0.000117356,0.054113965,a
316,ASV22259,0,0.000202112,0,0.00673708,b
317,ASV2227,0.000241231,0,0,0.008041031,a
318,ASV2237,0,0,0.000671535,0.022384492,c
319,ASV2239,0,0.00026731,0,0.008910332,b
320,ASV2244,0,0.00026079,0,0.008693006,b
321,ASV2247,0.00027383,0,0,0.009127657,a
322,ASV225,0.00131699,0.000964924,0.001369149,0.121702091,none
323,ASV2251,0.000228191,6.52E-06,0,0.007823706,a
324,ASV226,0,0.000234711,0,0.007823706,b
325,ASV228,0.000339027,0,0,0.011300908,a
326,ASV2285,0,0.000241231,0,0.008041031,b
327,ASV229,0.000293389,0.000247751,0.000208632,0.024992394,none
328,ASV23,2.61E-05,0.001623419,0.001303951,0.098448298,b
329,ASV2307,0,0,0.000736732,0.024557743,c
330,ASV231,0,0,0.00053462,0.017820663,c
331,ASV2314,6.52E-06,0.000730213,0,0.024557743,b
332,ASV2316,0,0.000221672,0,0.007389056,b
333,ASV235,0.000775851,0,0,0.025861694,a
334,ASV2358,0,0.000319468,0,0.010648933,b
335,ASV2381,0,0.000371626,0,0.012387534,b
336,ASV23894,0,0.0005281,0,0.017603338,b
337,ASV23962,0.000247751,0,0,0.008258356,a
338,ASV23974,0.000228191,0,0,0.007606381,a
339,ASV23990,0,0.00054114,0.00052158,0.035424001,b
340,ASV24,0.010724997,0.006800104,0.004896336,0.747381232,none
341,ASV24058,0.00025427,0,6.52E-06,0.008693006,a
342,ASV24066,0.000951884,0.000710653,0,0.055417916,a
343,ASV2418,0,0,0.000358587,0.011952884,c
344,ASV24295,0.00054114,0,0.000130395,0.022384492,a
345,ASV25,0.000710653,0,1.30E-05,0.024123093,a
346,ASV25009,0,0,0.000391185,0.01303951,c
347,ASV25012,0.001004042,0,0.000104316,0.036945278,a
348,ASV25022,0.00080193,0,0,0.026730995,a
349,ASV25029,0,0.001238753,0,0.041291781,b
350,ASV25033,0,0,0.00052158,0.017386013,c
351,ASV25041,0,0.000743252,0,0.024775068,b
352,ASV25046,0.000436824,0,0.000475942,0.030425523,c
353,ASV25053,0,0.001153997,0,0.038466554,b
354,ASV25061,0,0.000619377,0,0.02064589,b
355,ASV25068,7.17E-05,0.000299909,0,0.012387534,b
356,ASV25069,0.001271352,0.00052158,0,0.05976442,a
357,ASV25078,0,0,0.000339027,0.011300908,c
358,ASV25091,0,0,0.00026731,0.008910332,c
359,ASV25092,0,0.000410745,0,0.013691485,b
360,ASV25097,0,0.00025427,0,0.008475681,b
361,ASV25104,0.000964924,0,0,0.032164124,a
362,ASV25127,0,0.000345547,0,0.011518234,b
363,ASV25178,0.000325988,0,0,0.010866258,a
364,ASV25190,0.000834529,0,0,0.027817621,a
365,ASV25241,0.001023602,0,0,0.03412005,a
366,ASV2528,0.000286869,0.000143435,0,0.014343461,a
367,ASV25324,0,0.000293389,0,0.009779632,b
368,ASV25396,0.00027383,0,0,0.009127657,a
369,ASV25456,0.000215152,0,0,0.00717173,a
370,ASV25491,0,0,0.000215152,0.00717173,c
371,ASV25505,0,0.000397705,0,0.013256835,b
372,ASV25612,0.002275394,0.000228191,0,0.083452862,a
373,ASV25623,0,0.000234711,0,0.007823706,b
