,OTUs,a,b,c,size,Class
152,ASV12982,0.000465236,0,0,0.015507874,a
153,ASV13,0.003364274,0.007717316,0.002235376,0.443898866,b
154,ASV130,0.000126679,0.002168113,0.000103137,0.079930943,b
155,ASV1302,0,4.48E-06,0.00020291,0.006913148,c
156,ASV13056,0.000261205,0,0,0.00870683,a
157,ASV13061,0,0,0.000248873,0.008295778,c
158,ASV1308,0.000349768,2.24E-06,9.64E-05,0.014947348,a
159,ASV13087,0,0.000474205,0,0.01580682,b
160,ASV131,0.003323917,0.004659088,0.008281204,0.542140311,c
161,ASV13103,0,0.001028004,0,0.034266795,b
162,ASV132,0.000195063,0.0002769,0.000247752,0.023990493,none
163,ASV13207,0,0.00042712,0,0.014237349,b
164,ASV1323,0,1.79E-05,0.000418152,0.014536296,c
165,ASV13318,0,0.000860967,0,0.028698908,b
166,ASV1337,3.36E-06,0,0.000206273,0.006987885,c
167,ASV13383,0,0,0.000257842,0.008594725,c
168,ASV134,0,3.36E-05,0.000225331,0.008632093,c
169,ASV13403,0.000502231,2.24E-06,0,0.016815766,a
170,ASV13409,0,0,0.00026681,0.008893672,c
171,ASV13460,2.24E-06,0.00033071,0,0.011098406,b
172,ASV13495,2.24E-06,0.000552678,0,0.018497343,b
173,ASV135,0,0.001473061,0.000732046,0.073503584,b
174,ASV1350,0,0.000452905,9.42E-05,0.018235765,b
175,ASV1356,0.00080043,1.12E-06,0,0.026718384,a
176,ASV13566,0,0.000762315,0,0.025410492,b
177,ASV13595,0,0.000455147,0,0.015171558,b
178,ASV13691,0.000350889,1.12E-06,0.000241026,0.019767868,a
179,ASV137,0.000278021,0.00103473,0.000531378,0.061470969,b
180,ASV13737,0.000109863,0.000752225,8.52E-05,0.031576273,b
181,ASV13743,0,0.000313894,0,0.010463144,b
182,ASV13755,0,0.000475326,0,0.015844189,b
183,ASV13761,1.12E-06,5.61E-06,0.000210758,0.007249464,c
184,ASV13867,0.001808255,0,0,0.060275181,a
185,ASV13870,0.001294814,0,0,0.043160467,a
186,ASV13879,0.000396852,0,0,0.013228403,a
187,ASV13914,0.000274658,0,0,0.009155251,a
188,ASV13922,0,0.000739894,0,0.024663124,b
189,ASV13926,0.000256721,0,0,0.008557357,a
190,ASV13941,1.12E-06,0.001263425,0,0.042151521,b
191,ASV13957,0,0.000442815,0,0.014760506,b
192,ASV13967,0.000467478,0,0,0.01558261,a
193,ASV14,0.000675994,0.004133315,0.001052667,0.195399206,b
194,ASV14008,0.000322863,0,0,0.010762091,a
195,ASV1401,0.002179323,0,4.48E-06,0.072793585,a
196,ASV14031,0,0.000344163,0,0.01147209,b
197,ASV14032,0,0.000474205,0,0.01580682,b
198,ASV14034,0,8.30E-05,0.000239905,0.010762091,c
199,ASV141,0,0.001152441,5.83E-05,0.04035784,b
200,ASV14107,0.000702899,0.00041591,0.000253358,0.045738885,a
201,ASV14116,0.0002769,0,0,0.009229987,a
202,ASV14153,0.000681599,0.000383399,0.000195063,0.042002048,a
203,ASV14154,0.000585189,0.000335194,0,0.030679432,a
204,ASV14155,0.000529136,0,0,0.017637871,a
205,ASV14156,0.000516805,0,0,0.017226819,a
206,ASV14157,0.000478689,0,0,0.015956294,a
207,ASV14158,0.000484294,0,0,0.016143136,a
208,ASV14159,0.000493262,0,0,0.016442083,a
209,ASV14160,0.000478689,0,0,0.015956294,a
210,ASV14161,0.000482052,0,0,0.016068399,a
