,OTUs,A,B,C,size,Class
166,ASV1196,1.30E-05,0.000280349,0,0.009779632,B
167,ASV12,0.040865823,0.00027383,0.000130395,1.375668275,A
168,ASV1213,5.22E-05,0,0.000293389,0.011518234,C
169,ASV12183,0,6.52E-06,0.000202112,0.006954405,C
170,ASV12193,0,6.52E-06,0.000841048,0.028252271,C
171,ASV122,0.000847568,0.003142522,0.00027383,0.142130656,B
172,ASV12230,0,0,0.000339027,0.011300908,C
173,ASV1227,1.30E-05,0.000215152,0,0.007606381,B
174,ASV12294,0,6.52E-06,0.000638936,0.021515191,C
175,ASV1234,6.52E-06,0.000358587,0,0.012170209,B
176,ASV1237,1.30E-05,0,0.008149694,0.272091103,C
177,ASV124,0.000110836,0.000208632,1.30E-05,0.011083583,B
178,ASV12530,0,0,0.00026731,0.008910332,C
179,ASV12531,0,0,0.000560699,0.018689964,C
180,ASV12544,0,0,0.000632416,0.021080541,C
181,ASV12545,0,0,0.000215152,0.00717173,C
182,ASV12559,0,0,0.000502021,0.016734037,C
183,ASV12561,0,0,0.000665015,0.022167167,C
184,ASV12576,0,0,0.000358587,0.011952884,C
185,ASV12582,0,0,0.002262355,0.075411831,C
186,ASV12602,0,0,0.000397705,0.013256835,C
187,ASV12611,0,0,0.000247751,0.008258356,C
188,ASV12613,0,0,0.000932325,0.031077498,C
189,ASV12619,0,0,0.000775851,0.025861694,C
190,ASV12626,0,0,0.000228191,0.007606381,C
191,ASV12775,0,0,0.000365106,0.012170209,C
192,ASV12869,0,0,0.00025427,0.008475681,C
193,ASV13,0.010738036,4.56E-05,0,0.359455818,A
194,ASV1301,6.52E-06,0.000241231,0,0.008258356,B
195,ASV1314,6.52E-06,0.001245273,0.000691094,0.064762898,B
196,ASV13162,0,0,0.000280349,0.009344982,C
197,ASV133,0.003090364,0,0,0.103012127,A
198,ASV13398,0,0,0.000645456,0.021515191,C
199,ASV1382,0,0.000567219,0,0.018907289,B
200,ASV14,0.001610379,0,0,0.053679315,A
201,ASV14079,0,0,0.000736732,0.024557743,C
202,ASV14538,0,0,0.00026079,0.008693006,C
203,ASV149,0.002542704,0.013345938,0.001245273,0.571130525,B
204,ASV15,0.002601382,7.17E-05,0,0.089103316,A
205,ASV150,0.000169514,0.000423784,0.000899726,0.049767462,C
206,ASV1510,0.007993219,0,0,0.266440648,A
207,ASV1511,0.001264832,0,0,0.042161081,A
208,ASV1512,0.000867127,0.001453905,0.002171078,0.149737037,none
209,ASV1513,0.000417264,0,0.000547659,0.032164124,C
210,ASV1514,0.00026079,0.000293389,0.002229756,0.092797844,C
211,ASV1515,0.000299909,0.000345547,0.000991003,0.054548616,C
212,ASV1516,0.000286869,0.000417264,0.004863737,0.185595688,C
213,ASV1517,0.000247751,0.000358587,0.001995045,0.08671274,C
214,ASV1518,0.000475942,0,3.26E-05,0.016951363,A
215,ASV1519,0.000736732,0,0,0.024557743,A
216,ASV152,0.000612857,0.003279437,0.000619377,0.150389012,B
217,ASV1520,0.003924892,0,0,0.130829747,A
218,ASV1521,0.000195593,3.91E-05,0.000671535,0.030208198,C
219,ASV1522,0.000208632,0,0.000358587,0.018907289,C
220,ASV1523,0.000208632,0.00106924,0.000880167,0.071934629,none
221,ASV1524,0.000162994,0,0.000469422,0.021080541,C
222,ASV1525,0.000149954,0.000306428,0.000586778,0.034772026,C
223,ASV1526,0.000234711,0.000352067,0.000580258,0.038901204,none
224,ASV1527,0.000182553,0.000404225,3.26E-05,0.02064589,B
225,ASV1529,0.000162994,0,0.000221672,0.012822185,C
226,ASV1531,0.000156474,3.91E-05,0.000925805,0.037379928,C
227,ASV1534,0.000169514,0.000195593,0.000554179,0.030642848,C
228,ASV1535,0.000117356,0.000410745,0.000182553,0.023688443,B
229,ASV1537,0.000143435,0.000580258,0.001629939,0.078454383,C
230,ASV15373,0,0,0.000306428,0.010214283,C
231,ASV154,0.000149954,0,0.000319468,0.015647412,C
232,ASV15402,0,0,0.000352067,0.011735559,C
233,ASV15409,0,0,0.000749772,0.024992394,C
234,ASV15418,0,0,0.000404225,0.01347416,C
235,ASV15423,0,0,0.000436824,0.014560786,C
236,ASV15437,0,0,0.000417264,0.01390881,C
237,ASV1546,0.000117356,3.91E-05,0.000280349,0.014560786,C
238,ASV1547,0.000136915,0.001101839,0.001186595,0.08084496,none
239,ASV1548,0.000143435,0,0.000449863,0.01977659,C
