,OTUs,A,B,C,size,Class
186,ASV11783,0,0,0.000837425,0.027914172,C
187,ASV11784,0,0,0.000736531,0.024551019,C
188,ASV11785,0,0,0.000670389,0.022346285,C
189,ASV11786,0,0,0.000625547,0.02085155,C
190,ASV11787,0,0,0.000619941,0.020664709,C
191,ASV11788,0,0,0.000566131,0.018871027,C
192,ASV11789,0,0,0.000556041,0.018534711,C
193,ASV11790,0,0,0.000497747,0.016591556,C
194,ASV11791,0,0,0.000419273,0.01397577,C
195,ASV11792,0,0,0.000409184,0.013639455,C
196,ASV11793,0,0,0.000256721,0.008557357,C
197,ASV11794,0,0,0.00020291,0.006763675,C
198,ASV118,0.000269052,4.48E-06,0,0.009117882,A
199,ASV1182,1.12E-06,0.000780252,4.48E-06,0.026195227,B
200,ASV11849,0,0,0.001651308,0.055043609,C
201,ASV119,0.000485415,0,0,0.016180504,A
202,ASV11907,0,0,0.001131141,0.037704685,C
203,ASV12,0.0152945,0.009688124,0.022704648,1.58957572,none
204,ASV120,0.000488778,0,0,0.016292609,A
205,ASV12037,0,0,0.002621017,0.087367249,C
206,ASV12038,0,0,0.002244344,0.074811477,C
207,ASV12039,0,0,0.00212215,0.070738324,C
208,ASV12040,0,0,0.001291451,0.043048362,C
209,ASV12041,0,0,0.001189435,0.03964784,C
210,ASV12042,0,0,0.001127777,0.03759258,C
211,ASV12043,0,0,0.001082935,0.036097845,C
212,ASV12044,0,0,0.001038093,0.034603111,C
213,ASV12045,0,0,0.001032488,0.034416269,C
214,ASV12046,0,0,0.00098092,0.032697324,C
215,ASV12047,0,0,0.001033609,0.034453637,C
216,ASV12048,0,0,0.00097083,0.032361008,C
217,ASV12049,0,0,0.000903567,0.030118906,C
218,ASV12050,0,0,0.000700657,0.023355231,C
219,ASV12051,0,0,0.000605368,0.02017892,C
220,ASV12052,0,0,0.000625547,0.02085155,C
221,ASV12053,0,0,0.000478689,0.015956294,C
222,ASV12054,0,0,0.000375552,0.012518404,C
223,ASV12055,0,0,0.000369947,0.012331562,C
224,ASV12056,0,0,0.000228694,0.007623147,C
225,ASV12057,0,0,0.00024551,0.008183673,C
226,ASV12058,0,0,0.000233179,0.007772621,C
227,ASV12059,0,0,0.000215242,0.007174727,C
228,ASV121,0.001297056,0.000785857,0.001134504,0.107247222,none
229,ASV1210,2.24E-06,0.000343042,0,0.011509458,B
230,ASV1216,0.000325105,0.000502231,0,0.027577857,B
231,ASV122,0.000440573,7.85E-06,4.82E-05,0.016554188,A
232,ASV123,0.000449541,1.12E-06,0,0.015022085,A
233,ASV1233,2.24E-06,0.000580704,6.73E-06,0.019655763,B
234,ASV124,0.000450663,1.12E-06,0,0.015059453,A
235,ASV1246,3.36E-06,0.000573978,2.24E-06,0.019319447,B
236,ASV1247,0,0.000225331,0.000385642,0.020365762,C
237,ASV125,0.000460752,0.000100895,1.12E-06,0.018758922,A
238,ASV126,0.00037331,0,4.48E-06,0.012593141,A
239,ASV1267,0.000102016,0.000978678,0,0.036023109,B
240,ASV127,0.000431605,0.000162552,0,0.019805236,A
241,ASV128,0.000411426,0,0,0.013714192,A
242,ASV1280,1.12E-06,0.000693931,0,0.023168389,B
243,ASV1286,0,0.000464115,0.000163673,0.020926287,B
244,ASV129,0.000425999,0.000295957,0.000668146,0.046336779,none
245,ASV1293,0,0.000706262,0,0.023542073,B
246,ASV1299,0.000145737,0.000504473,0,0.021673655,B
247,ASV13,0.007240869,0.001716329,0.002502186,0.381979477,A
248,ASV130,0.000440573,1.35E-05,0.000360978,0.027166805,A
249,ASV1303,1.12E-06,0.00087442,0,0.029184697,B
250,ASV131,0.001777987,0.003169211,0.004907962,0.32850534,none
251,ASV1311,2.24E-06,0.000974193,0,0.03254785,B
252,ASV1316,0.000219726,2.24E-06,1.12E-06,0.007436306,A
253,ASV132,0.000930472,8.97E-06,0.000782494,0.057397816,A
254,ASV1323,2.24E-06,0.001144593,0.016763077,0.596997078,C
255,ASV133,0.000372189,6.73E-06,0,0.012630509,A
256,ASV134,0.000459631,1.12E-06,4.48E-05,0.016853135,A
257,ASV135,0.000402457,1.79E-05,0.002660254,0.102688281,C
258,ASV1351,1.12E-06,0.000360978,0,0.012069983,B
259,ASV1354,1.12E-06,0.000105379,0.00046972,0.019207342,C
260,ASV1356,5.38E-05,4.26E-05,0.001025762,0.037405738,C
261,ASV136,0.000213,0,0,0.00709999,A
262,ASV137,0.000867694,0.000883388,0.000910293,0.08871251,none
263,ASV138,0.000396852,1.12E-06,0,0.013265771,A
264,ASV1382,0,0.001582924,0,0.052764138,B
265,ASV1383,1.12E-06,0.000678236,0,0.022645232,B
266,ASV1387,0,0.001817224,0.001914755,0.124399303,C
267,ASV139,0.000239905,0,0,0.007996831,A
268,ASV1392,0,0.000449541,0,0.014984716,B
269,ASV1396,0,0.000471963,0.000964104,0.047868882,C
270,ASV14,0.004160221,0.001150198,0.00259187,0.26340964,A
271,ASV140,0.000241026,0,0,0.0080342,A
272,ASV1401,0,0.00035201,0,0.011733668,B
273,ASV141,0.000447299,0,2.24E-06,0.014984716,A
274,ASV1415,0.000293715,0,0,0.009790513,A
275,ASV142,0.00043721,0,0,0.014573664,A
276,ASV143,0.000219726,0,0,0.007324201,A
277,ASV1435,0,0.0003408,0,0.011359984,B
278,ASV144,0.000547073,1.12E-06,8.97E-05,0.021262602,A
279,ASV145,0.000438331,2.24E-06,0,0.014685769,A
280,ASV1455,0.000284747,0,0,0.009491566,A
281,ASV146,0.000428242,1.12E-06,0,0.014312086,A
282,ASV1463,0,0.000201789,0,0.006726307,B
283,ASV147,0.000454026,0,4.60E-05,0.016666293,A
284,ASV1476,0,0.000942804,0,0.031426799,B
285,ASV148,0.000418152,0,0,0.013938402,A
286,ASV149,0.000377794,0.001004462,0.000290352,0.055753608,B
287,ASV1494,0.000253358,7.85E-06,0,0.00870683,A
288,ASV1495,0,0,0.000598641,0.01995471,C
289,ASV15,0.002068339,0.00189794,0.000557162,0.150781373,none
290,ASV150,0.00047981,0.001049304,0.001060514,0.086320935,none
291,ASV151,0.000393489,1.12E-06,0,0.013153666,A
292,ASV1518,6.39E-05,0.000322863,0.000208516,0.019842604,B
293,ASV152,0.000226452,0,0,0.007548411,A
294,ASV1524,0,0.000854241,0.000856483,0.057024132,C
295,ASV153,0.000669268,0.001359835,0.000389005,0.080603574,B
296,ASV1531,3.36E-06,0.000341921,0,0.011509458,B
297,ASV154,0.000360978,2.24E-06,0,0.012107352,A
298,ASV1540,0,0.000262326,0,0.008744199,B
299,ASV155,0.000397973,0,0.000339678,0.024588387,A
300,ASV156,0.000368826,1.12E-06,0.000137889,0.016927872,A
301,ASV157,0.000409184,4.48E-06,0.000192821,0.020216288,A
302,ASV158,0.000233179,0,0,0.007772621,A
303,ASV1584,0.001256698,0,0,0.041889943,A
304,ASV1585,0.001177104,0,0.000540347,0.057248343,A
305,ASV1586,0.000615457,0,0,0.020515235,A
306,ASV1587,0.000923746,0.000377794,0,0.043384677,A
307,ASV1588,0.000486536,2.35E-05,0.002515639,0.10085723,C
308,ASV1589,0.000454026,0,0,0.01513419,A
309,ASV159,0.000385642,0.000353131,0,0.024625756,A
310,ASV1590,0.000404699,0,0.004958409,0.178770282,C
311,ASV1591,0.000334073,0,0,0.011135774,A
312,ASV1592,0.000346405,0,0,0.011546826,A
313,ASV1593,0.000295957,0,0,0.00986525,A
314,ASV1594,0.00026681,0,0,0.008893672,A
315,ASV1595,0.000248873,2.24E-06,0,0.008370515,A
316,ASV1596,0.000236542,0,0,0.007884726,A
317,ASV1597,0.000246631,0,0,0.008221041,A
318,ASV1598,0.00024551,0.000321742,0,0.018908395,B
319,ASV1599,0.000201789,0,0,0.006726307,A
320,ASV16,0.003694984,0.000125558,0.00185534,0.189196057,A
321,ASV160,0.000423757,0,0,0.014125244,A
322,ASV1602,0.000167037,0.00089572,4.37E-05,0.036882581,B
323,ASV161,0.000374431,0,0,0.012481036,A
324,ASV1618,0.000108742,0.001545929,0.001125535,0.092673557,B
325,ASV162,0.000375552,0,0,0.012518404,A
326,ASV1627,9.98E-05,0.000802673,0.000113226,0.033855743,B
327,ASV1628,0.000104258,3.03E-05,0.000304926,0.014648401,C
328,ASV163,0.000523531,1.01E-05,0,0.017787344,A
329,ASV1637,0.0003195,0.000162552,0,0.016068399,A
330,ASV164,0.000399094,4.60E-05,0.000497747,0.031426799,C
331,ASV1641,0.001096388,0,0,0.036546266,A
332,ASV165,0.000433847,0,0,0.014461559,A
333,ASV166,0.000417031,1.12E-06,0,0.013938402,A
334,ASV167,0.000364342,1.12E-06,0,0.012182089,A
335,ASV1675,5.04E-05,0.00043721,0.000455147,0.031426799,none
336,ASV168,0.000369947,4.48E-06,0.000261205,0.021187866,A
337,ASV1685,3.03E-05,0,0.000418152,0.014947348,C
338,ASV1693,0.004807067,0,0,0.16023557,A
339,ASV17,0.003868747,0.000355373,0.002551512,0.225854428,A
340,ASV170,0.000377794,2.24E-06,0,0.012667877,A
341,ASV1706,1.12E-05,0.000638999,0,0.021673655,B
342,ASV1708,0.000591915,0.000113226,0,0.023504705,A
343,ASV171,0.00039461,0,0,0.013153666,A
344,ASV172,0.000211879,0,0.000428242,0.021337339,C
345,ASV1727,5.61E-06,0.001276877,5.61E-06,0.042936257,B
346,ASV173,0.000378915,0,0,0.012630509,A
347,ASV1731,3.36E-06,3.92E-05,0.00103473,0.035911003,C
348,ASV1732,2.24E-06,0.000210758,4.48E-06,0.007249464,B
349,ASV174,0.000364342,0.000338557,0.00091702,0.053997295,C
350,ASV1743,0.000817246,0.00439452,0.000356494,0.185608693,B
351,ASV1746,2.24E-06,1.35E-05,0.003052622,0.102277228,C
352,ASV175,0.000442815,7.85E-06,0,0.015022085,A
353,ASV176,0.000341921,0,0,0.011397353,A
354,ASV1760,1.12E-06,0.000581826,0,0.019431552,B
355,ASV177,0.000498868,0,2.24E-06,0.016703661,A
356,ASV178,0.000206273,0,0,0.00687578,A
357,ASV179,0.000422636,0,0,0.014087875,A
358,ASV1796,0.000312773,7.40E-05,0,0.012892088,A
359,ASV18,0.002845228,0.001202888,0.002049281,0.203246564,none
360,ASV180,0.001263425,0.00346629,0.003622116,0.278394356,none
